Model	Input	Cached input	Output
gpt-5	$0.625	$0.0625	$5.00
gpt-5-mini	$0.125	$0.0125	$1.00
gpt-5-nano	$0.025	$0.0025	$0.20
gpt-4.1	$1.00	-	$4.00
gpt-4.1-mini	$0.20	-	$0.80
gpt-4.1-nano	$0.05	-	$0.20
gpt-4o	$1.25	-	$5.00
gpt-4o-2024-05-13	$2.50	-	$7.50
gpt-4o-mini	$0.075	-	$0.30
o1	$7.50	-	$30.00
o1-pro	$75.00	-	$300.00
o3-pro	$10.00	-	$40.00
o3	$1.00	-	$4.00
o3-deep-research	$5.00	-	$20.00
o4-mini	$0.55	-	$2.20
o4-mini-deep-research	$1.00	-	$4.00
o3-mini	$0.55	-	$2.20
o1-mini	$0.55	-	$2.20
computer-use-preview	$1.50	-	$6.00
